Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BSCRO579-24_r_1.5_s_100_BSCRO579-24,BSCRO579-24,7140546,277,1776,1533,0.0,116.0,22.661448140900195,16.0
BSCRO660-24_r_1.5_s_50_BSCRO660-24,BSCRO660-24,2083285,161,466,1533,0.0,74.0,10.712328767123287,1.0
BSCRO659-24_r_1.3_s_100_BSCRO659-24,BSCRO659-24,5044683,518,728,1530,0.0,97.0,40.76470588235294,40.0
BSCRO626-24_r_1.3_s_50_BSCRO626-24,BSCRO626-24,8000350,1211,11,1533,0.0,148.0,88.0,90.0
BSCRO648-24_r_1.3_s_100_BSCRO648-24,BSCRO648-24,6583442,54,227,1536,0.0,9.0,3.0,3.0
BSCRO657-24_r_1.5_s_50_BSCRO657-24,BSCRO657-24,6774760,609,241,1530,0.0,100.0,45.67058823529412,46.0
BSCRO584-24_r_1.3_s_50_BSCRO584-24,BSCRO584-24,3343924,652,1335,1536,0.0,154.0,41.208984375,33.5
BSCRO614-24_r_1_s_50_BSCRO614-24,BSCRO614-24,12316191,1589,105,1551,0.0,189.0,126.27466150870406,141.0
BSCRO627-24_r_1.5_s_50_BSCRO627-24,BSCRO627-24,5780221,254,47,1533,0.0,42.0,15.943248532289628,14.0
BSCRO610-24_r_1_s_50_BSCRO610-24,BSCRO610-24,6461489,134395,21683,1536,6.0,16438.0,10284.888671875,9925.5
BSCRO657-24_r_1.3_s_50_BSCRO657-24,BSCRO657-24,6774760,807,241,1530,1.0,101.0,60.34117647058824,65.0
BSCRO588-24_r_1_s_50_BSCRO588-24,BSCRO588-24,5030327,1433,1511,1533,0.0,255.0,133.9119373776908,141.0
BSCRO596-24_r_1.5_s_50_BSCRO596-24,BSCRO596-24,9709643,247,756,1536,0.0,39.0,18.56640625,18.0
BSCRO594-24_r_1_s_100_BSCRO594-24,BSCRO594-24,8772770,1110,182,1551,0.0,178.0,105.04642166344294,110.0
BSCRO622-24_r_1_s_50_BSCRO622-24,BSCRO622-24,7063246,652,380,1536,0.0,90.0,40.005859375,37.0
BSCRO641-24_r_1.5_s_50_BSCRO641-24,BSCRO641-24,7382056,438,3,1521,0.0,57.0,35.92307692307692,37.0
BSCRO623-24_r_1_s_100_BSCRO623-24,BSCRO623-24,2687018,16101,214,1536,0.0,2218.0,1245.564453125,1189.0
BSCRO599-24_r_1.3_s_50_BSCRO599-24,BSCRO599-24,231,0,0,1533,0,0,0,0
BSCRO662-24_r_1_s_100_BSCRO662-24,BSCRO662-24,6963852,511,409,1551,0.0,71.0,37.868471953578336,37.0
BSCRO573-24_r_1_s_50_BSCRO573-24,BSCRO573-24,6518165,331,2336,1533,0.0,67.0,18.77886497064579,18.0
BSCRO655-24_r_1_s_100_BSCRO655-24,BSCRO655-24,6975097,1804,1955,1530,0.0,224.0,146.35882352941175,146.0
BSCRO657-24_r_1.5_s_100_BSCRO657-24,BSCRO657-24,6774760,536,241,1530,0.0,90.0,43.588235294117645,45.0
BSCRO663-24_r_1.5_s_50_BSCRO663-24,BSCRO663-24,7881669,2254,183,1533,6.0,248.0,138.50489236790608,143.0
BSCRO609-24_r_1.5_s_50_BSCRO609-24,BSCRO609-24,3245783,35346,703,1536,3.0,5184.0,2943.87109375,2911.5
BSCRO579-24_r_1.3_s_50_BSCRO579-24,BSCRO579-24,7140546,578,1776,1533,0.0,191.0,44.25244618395303,27.0
BSCRO608-24_r_1_s_50_BSCRO608-24,BSCRO608-24,11095168,665,29,1533,5.0,82.0,38.94911937377691,39.0
BSCRO654-24_r_1_s_100_BSCRO654-24,BSCRO654-24,6799098,455,41,1533,0.0,59.0,39.21526418786693,39.0
BSCRO573-24_r_1.5_s_100_BSCRO573-24,BSCRO573-24,6518165,76,2336,1533,0.0,19.0,5.763209393346379,5.0
BSCRO600-24_r_1.3_s_100_BSCRO600-24,BSCRO600-24,6771994,8638,326,1536,1.0,1329.0,780.69140625,784.0
BSCRO579-24_r_1.3_s_100_BSCRO579-24,BSCRO579-24,7140546,474,1776,1533,0.0,190.0,41.12133072407045,25.0
BSCRO634-24_r_1_s_100_BSCRO634-24,BSCRO634-24,5202307,776,133,1536,0.0,137.0,68.25390625,63.5
BSCRO637-24_r_1.3_s_50_BSCRO637-24,BSCRO637-24,5785048,280,26,1533,0.0,60.0,14.293542074363993,12.0
BSCRO639-24_r_1.3_s_100_BSCRO639-24,BSCRO639-24,903107,4603,251,1530,90.0,638.0,397.80196078431374,412.5
BSCRO617-24_r_1_s_50_BSCRO617-24,BSCRO617-24,9242482,1294,768,1533,9.0,185.0,111.38356164383562,107.0
BSCRO631-24_r_1_s_100_BSCRO631-24,BSCRO631-24,6671802,568,76,1536,0.0,78.0,54.708984375,55.0
BSCRO645-24_r_1_s_50_BSCRO645-24,BSCRO645-24,8548831,758,60,1536,12.0,203.0,38.830078125,36.0
BSCRO652-24_r_1.3_s_50_BSCRO652-24,BSCRO652-24,7474000,705,57,1530,1.0,155.0,45.92745098039216,47.0
BSCRO665-24_r_1.5_s_50_BSCRO665-24,BSCRO665-24,7456382,1329,22,1533,0.0,172.0,111.75538160469668,118.0
BSCRO578-24_r_1_s_100_BSCRO578-24,BSCRO578-24,10690851,1867,120,1533,0.0,262.0,185.1839530332681,186.0
BSCRO618-24_r_1.5_s_50_BSCRO618-24,BSCRO618-24,9459750,1186,1131,1533,0.0,165.0,117.01956947162427,119.0
BSCRO639-24_r_1_s_100_BSCRO639-24,BSCRO639-24,903107,4820,251,1530,140.0,641.0,417.36470588235295,425.5
BSCRO640-24_r_1_s_50_BSCRO640-24,BSCRO640-24,2235396,9129,278,1536,2.0,1132.0,666.65234375,632.0
BSCRO659-24_r_1.5_s_100_BSCRO659-24,BSCRO659-24,5044683,402,728,1530,0.0,93.0,31.83529411764706,31.0
BSCRO664-24_r_1.5_s_100_BSCRO664-24,BSCRO664-24,7077985,665,2,1533,0.0,92.0,51.73581213307241,54.0
BSCRO625-24_r_1.3_s_100_BSCRO625-24,BSCRO625-24,4837921,344,150,1533,0.0,46.0,23.2426614481409,23.0
BSCRO652-24_r_1_s_100_BSCRO652-24,BSCRO652-24,7474000,520,57,1530,17.0,70.0,43.772549019607844,43.0
BSCRO647-24_r_1.5_s_50_BSCRO647-24,BSCRO647-24,6715303,314,1152,1551,0.0,74.0,20.95357833655706,17.0
BSCRO648-24_r_1.3_s_50_BSCRO648-24,BSCRO648-24,6583442,105,227,1536,0.0,17.0,4.412109375,4.0
BSCRO603-24_r_1.3_s_50_BSCRO603-24,BSCRO603-24,11051690,6517,2081,1536,0.0,823.0,591.328125,580.5
BSCRO606-24_r_1.5_s_50_BSCRO606-24,BSCRO606-24,5356724,883,846,1533,0.0,120.0,79.77103718199609,84.0
BSCRO602-24_r_1.5_s_100_BSCRO602-24,BSCRO602-24,11350044,485,1185,1551,0.0,126.0,48.657640232108314,47.0
BSCRO663-24_r_1.5_s_100_BSCRO663-24,BSCRO663-24,7881669,1829,183,1533,0.0,233.0,125.17808219178082,132.0
BSCRO641-24_r_1.5_s_100_BSCRO641-24,BSCRO641-24,7382056,405,3,1521,0.0,56.0,35.009861932938854,36.0
BSCRO619-24_r_1.3_s_100_BSCRO619-24,BSCRO619-24,10573399,639,125,1533,0.0,106.0,65.95694716242662,67.0
BSCRO638-24_r_1.3_s_50_BSCRO638-24,BSCRO638-24,4425098,704,556,1530,1.0,113.0,48.523529411764706,45.0
BSCRO637-24_r_1.5_s_100_BSCRO637-24,BSCRO637-24,5785048,150,26,1533,0.0,30.0,9.702544031311154,8.0
BSCRO637-24_r_1.5_s_50_BSCRO637-24,BSCRO637-24,5785048,207,26,1533,0.0,34.0,11.528375733855185,10.0
BSCRO630-24_r_1_s_100_BSCRO630-24,BSCRO630-24,10711920,393,1479,1536,17.0,56.0,36.5234375,36.0
BSCRO625-24_r_1_s_50_BSCRO625-24,BSCRO625-24,4837921,483,150,1533,0.0,58.0,27.614481409001957,27.0
BSCRO572-24_r_1_s_100_BSCRO572-24,BSCRO572-24,9072512,478,549,1536,0.0,65.0,38.2421875,39.0
BSCRO576-24_r_1_s_100_BSCRO576-24,BSCRO576-24,8502158,246,523,1533,0.0,48.0,22.818003913894326,22.0
BSCRO643-24_r_1_s_50_BSCRO643-24,BSCRO643-24,8804757,461,12,1536,1.0,167.0,19.44921875,14.0
BSCRO572-24_r_1.3_s_50_BSCRO572-24,BSCRO572-24,9072512,567,549,1536,1.0,65.0,40.580078125,41.0
