Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA1481-25_r_1.5_s_50_ILECA1481-25_fcleaner,ILECA1481-25,r_1.5_s_50_fcleaner,>ILECA1481-25_r_1.5_s_50_ILECA1481-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1645,null,null,53.0,162.0,113.32,117.0,0,82,31,0,0,100.0
ILECA1473-25_r_1.5_s_100_ILECA1473-25_fcleaner,ILECA1473-25,r_1.5_s_100_fcleaner,>ILECA1473-25_r_1.5_s_100_ILECA1473-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,2299,null,null,23.0,272.0,190.59,202.0,0,42,48,0,0,100.0
ILECA1443-25_r_1.3_s_100_ILECA1443-25_fcleaner,ILECA1443-25,r_1.3_s_100_fcleaner,>ILECA1443-25_r_1.3_s_100_ILECA1443-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,832,null,null,32.0,110.0,58.14,55.0,0,44,14,0,0,100.0
ILECA1482-25_r_1_s_50_ILECA1482-25_fcleaner,ILECA1482-25,r_1_s_50_fcleaner,>ILECA1482-25_r_1_s_50_ILECA1482-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,778,null,null,30.0,84.0,56.49,56.0,0,234,24,0,0,100.0
ILECA1503-25_r_1.3_s_50_ILECA1503-25_fcleaner,ILECA1503-25,r_1.3_s_50_fcleaner,>ILECA1503-25_r_1.3_s_50_ILECA1503-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1117,null,null,37.0,107.0,74.78,76.0,0,68,19,0,0,100.0
ILECA1459-25_r_1.5_s_50_ILECA1459-25_fcleaner,ILECA1459-25,r_1.5_s_50_fcleaner,>ILECA1459-25_r_1.5_s_50_ILECA1459-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,962,null,null,29.0,133.0,84.44,83.0,0,51,14,0,0,100.0
ILECA1432-25_r_1.5_s_100_ILECA1432-25_fcleaner,ILECA1432-25,r_1.5_s_100_fcleaner,>ILECA1432-25_r_1.5_s_100_ILECA1432-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,159,null,null,2.0,19.0,10.28,10.0,0,2,2,0,0,100.0
ILECA1466-25_r_1.3_s_100_ILECA1466-25_fcleaner,ILECA1466-25,r_1.3_s_100_fcleaner,>ILECA1466-25_r_1.3_s_100_ILECA1466-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1132,null,null,32.0,150.0,75.14,74.0,0,76,28,0,0,100.0
ILECA1504-25_r_1.5_s_50_ILECA1504-25_fcleaner,ILECA1504-25,r_1.5_s_50_fcleaner,>ILECA1504-25_r_1.5_s_50_ILECA1504-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,2059,null,null,39.0,264.0,137.17,129.0,0,99,29,0,0,100.0
ILECA1446-25_r_1.3_s_100_ILECA1446-25_fcleaner,ILECA1446-25,r_1.3_s_100_fcleaner,>ILECA1446-25_r_1.3_s_100_ILECA1446-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,234,null,null,0.0,57.0,19.79,19.0,0,86,17,0,0,90.98
ILECA1437-25_r_1_s_50_ILECA1437-25_fcleaner,ILECA1437-25,r_1_s_50_fcleaner,>ILECA1437-25_r_1_s_50_ILECA1437-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,569,null,null,15.0,60.0,39.48,41.0,0,81,12,0,0,100.0
ILECA1456-25_r_1.5_s_100_ILECA1456-25_fcleaner,ILECA1456-25,r_1.5_s_100_fcleaner,>ILECA1456-25_r_1.5_s_100_ILECA1456-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,304,null,null,0.0,84.0,26.39,27.0,0,18,9,0,0,79.41
ILECA1461-25_r_1_s_50_ILECA1461-25_fcleaner,ILECA1461-25,r_1_s_50_fcleaner,>ILECA1461-25_r_1_s_50_ILECA1461-25_fcleaner,1869700,QUQ05862.1,genus:Coleophora,null,2479,null,null,112.0,274.0,194.34,195.0,0,456,51,0,0,100.0
ILECA1447-25_r_1_s_50_ILECA1447-25_fcleaner,ILECA1447-25,r_1_s_50_fcleaner,>ILECA1447-25_r_1_s_50_ILECA1447-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,259,null,null,0.0,93.0,15.69,11.0,0,29,22,0,0,87.25
ILECA1462-25_r_1.5_s_50_ILECA1462-25_fcleaner,ILECA1462-25,r_1.5_s_50_fcleaner,>ILECA1462-25_r_1.5_s_50_ILECA1462-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,4244,null,null,111.0,509.0,282.84,260.0,0,197,59,0,0,100.0
ILECA1496-25_r_1.3_s_50_ILECA1496-25_fcleaner,ILECA1496-25,r_1.3_s_50_fcleaner,>ILECA1496-25_r_1.3_s_50_ILECA1496-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1579,null,null,96.0,183.0,123.78,123.0,0,62,100,0,0,100.0
ILECA1497-25_r_1_s_100_ILECA1497-25_fcleaner,ILECA1497-25,r_1_s_100_fcleaner,>ILECA1497-25_r_1_s_100_ILECA1497-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1784,null,null,44.0,181.0,129.29,129.0,0,54,28,0,0,100.0
ILECA1438-25_r_1_s_50_ILECA1438-25_fcleaner,ILECA1438-25,r_1_s_50_fcleaner,>ILECA1438-25_r_1_s_50_ILECA1438-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,5623,null,null,184.0,623.0,386.73,388.0,0,232,74,0,0,100.0
ILECA1513-25_r_1.3_s_50_ILECA1513-25_fcleaner,ILECA1513-25,r_1.3_s_50_fcleaner,>ILECA1513-25_r_1.3_s_50_ILECA1513-25_fcleaner,3137949,QUQ05862.1,genus:Coleophora,null,2318,null,null,88.0,312.0,168.28,163.5,0,173,35,0,0,100.0
ILECA1466-25_r_1_s_100_ILECA1466-25_fcleaner,ILECA1466-25,r_1_s_100_fcleaner,>ILECA1466-25_r_1_s_100_ILECA1466-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1146,null,null,32.0,151.0,76.22,75.0,0,219,29,0,0,100.0
ILECA1498-25_r_1.5_s_50_ILECA1498-25_fcleaner,ILECA1498-25,r_1.5_s_50_fcleaner,>ILECA1498-25_r_1.5_s_50_ILECA1498-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,2595,null,null,10.0,278.0,176.61,183.0,0,59,37,0,0,100.0
ILECA1444-25_r_1.3_s_100_ILECA1444-25_fcleaner,ILECA1444-25,r_1.3_s_100_fcleaner,>ILECA1444-25_r_1.3_s_100_ILECA1444-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,95,null,null,0.0,16.0,6.31,6.0,0,8,2,0,0,95.29
ILECA1497-25_r_1.3_s_50_ILECA1497-25_fcleaner,ILECA1497-25,r_1.3_s_50_fcleaner,>ILECA1497-25_r_1.3_s_50_ILECA1497-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1943,null,null,65.0,197.0,134.24,133.0,0,67,34,0,0,100.0
