Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL835-24_r_1.3_s_100_BGSNL835-24,BGSNL835-24,7561316,4094,45,1530,95.0,335.0,231.35882352941175,230.0
BGE00299-NC_r_1.3_s_50_BGE00299-NC,BGE00299-NC,219911,7,67,1539,0.0,4.0,0.25146198830409355,0.0
BGSNL793-24_r_1.3_s_100_BGSNL793-24,BGSNL793-24,7692493,1205,6,1530,19.0,122.0,64.47843137254903,60.5
BGSNL844-24_r_1_s_50_BGSNL844-24,BGSNL844-24,672962,167,92,1533,0.0,30.0,8.954990215264187,7.0
BGSNL829-24_r_1.5_s_50_BGSNL829-24,BGSNL829-24,8514730,2032,41,1530,17.0,169.0,82.29607843137255,75.0
BGSNL784-24_r_1_s_100_BGSNL784-24,BGSNL784-24,7863688,3687,357,1533,83.0,369.0,210.9119373776908,208.0
BGSNL767-24_r_1.3_s_50_BGSNL767-24,BGSNL767-24,7423711,4031,240,1506,112.0,335.0,224.65338645418328,215.5
BGSNL775-24_r_1.5_s_50_BGSNL775-24,BGSNL775-24,3365025,2903,72,1533,40.0,206.0,114.57142857142857,112.0
BGSNL813-24_r_1_s_50_BGSNL813-24,BGSNL813-24,7456867,3688,73,1533,127.0,326.0,195.3248532289628,188.0
BGSNL796-24_r_1.5_s_50_BGSNL796-24,BGSNL796-24,6142158,1320,57,1530,20.0,124.0,59.501960784313724,57.0
BGSNL812-24_r_1_s_50_BGSNL812-24,BGSNL812-24,8781829,2295,130,1533,67.0,214.0,121.60078277886497,113.0
BGSNL797-24_r_1_s_100_BGSNL797-24,BGSNL797-24,7976457,563,26,1530,12.0,63.0,30.066666666666666,30.0
BGSNL800-24_r_1.3_s_100_BGSNL800-24,BGSNL800-24,7274592,721,112,1530,13.0,63.0,39.44117647058823,39.0
BGSNL810-24_r_1.5_s_50_BGSNL810-24,BGSNL810-24,7834812,4776,227,1533,110.0,443.0,263.07827788649706,263.0
BGSNL848-24_r_1.5_s_50_BGSNL848-24,BGSNL848-24,6865881,6298,7,1533,95.0,472.0,265.43639921722115,258.0
BGSNL765-24_r_1.3_s_100_BGSNL765-24,BGSNL765-24,7714463,3006,373,1506,63.0,307.0,212.4382470119522,211.0
BGSNL776-24_r_1.3_s_50_BGSNL776-24,BGSNL776-24,4218482,2961,45,1533,28.0,291.0,109.06066536203522,101.0
BGSNL850-24_r_1.5_s_100_BGSNL850-24,BGSNL850-24,7300490,2514,17,1533,35.0,272.0,126.50880626223092,121.0
BGSNL785-24_r_1.5_s_50_BGSNL785-24,BGSNL785-24,4425957,2168,4,1533,58.0,197.0,122.96086105675147,122.0
BGSNL784-24_r_1.3_s_50_BGSNL784-24,BGSNL784-24,7863688,5320,357,1533,111.0,414.0,262.26810176125247,264.0
BGSNL782-24_r_1.5_s_100_BGSNL782-24,BGSNL782-24,8989470,1929,117,1533,26.0,215.0,92.8082191780822,86.0
BGSNL826-24_r_1.3_s_50_BGSNL826-24,BGSNL826-24,7683822,614,0,1530,8.0,62.0,25.08235294117647,24.0
BGSNL793-24_r_1.3_s_50_BGSNL793-24,BGSNL793-24,7692493,1915,6,1530,45.0,178.0,86.91176470588235,80.0
BGSNL796-24_r_1.3_s_100_BGSNL796-24,BGSNL796-24,6142158,867,57,1530,16.0,86.0,46.09411764705882,45.0
BGSNL801-24_r_1.3_s_50_BGSNL801-24,BGSNL801-24,8002021,2122,19,1530,64.0,161.0,115.38235294117646,115.0
BGSNL846-24_r_1_s_50_BGSNL846-24,BGSNL846-24,5514613,4445,166,1533,60.0,336.0,160.65166340508807,148.0
BGSNL849-24_r_1_s_50_BGSNL849-24,BGSNL849-24,5653635,2021,107,1533,19.0,196.0,77.50293542074364,71.0
BGSNL816-24_r_1.5_s_50_BGSNL816-24,BGSNL816-24,7859310,1845,59,1533,26.0,165.0,77.89628180039139,70.0
BGSNL850-24_r_1.3_s_100_BGSNL850-24,BGSNL850-24,7300490,2525,17,1533,35.0,275.0,127.27005870841488,122.0
BGSNL828-24_r_1.3_s_100_BGSNL828-24,BGSNL828-24,7667500,616,5,1530,8.0,61.0,30.090196078431372,29.0
BGSNL838-24_r_1.5_s_100_BGSNL838-24,BGSNL838-24,8998437,954,39,1530,14.0,122.0,48.733333333333334,43.5
BGSNL781-24_r_1_s_100_BGSNL781-24,BGSNL781-24,6594685,715,135,1533,4.0,76.0,35.193737769080236,36.0
BGSNL803-24_r_1.3_s_50_BGSNL803-24,BGSNL803-24,7687106,1403,139,1530,40.0,120.0,72.25294117647059,71.0
BGSNL812-24_r_1_s_100_BGSNL812-24,BGSNL812-24,8781829,1688,130,1533,55.0,182.0,102.60861056751467,95.0
BGSNL806-24_r_1.5_s_100_BGSNL806-24,BGSNL806-24,3400095,175,324,1530,0.0,50.0,8.984313725490196,6.0
BGSNL761-24_r_1.5_s_100_BGSNL761-24,BGSNL761-24,1322970,80,174,1506,0.0,16.0,3.9820717131474104,4.0
BGSNL774-24_r_1.5_s_100_BGSNL774-24,BGSNL774-24,7273304,484,25,1533,7.0,52.0,23.913894324853228,25.0
BGSNL772-24_r_1.5_s_100_BGSNL772-24,BGSNL772-24,5895159,1130,3,1533,18.0,99.0,60.166340508806265,58.0
BGSNL819-24_r_1.5_s_100_BGSNL819-24,BGSNL819-24,7869377,807,2,1533,9.0,86.0,43.35225048923679,41.0
BGE00299-NC_r_1.3_s_100_BGE00299-NC,BGE00299-NC,219911,3,67,1539,0.0,2.0,0.14230019493177387,0.0
BGSNL818-24_r_1.3_s_100_BGSNL818-24,BGSNL818-24,8430058,642,109,1533,10.0,66.0,33.256360078277886,30.0
